# Blood pressure meds
{
'concept_name': {
'ID: 1332450 | Value: amlodipine 5 MG | COUNT: 34899',
'ID: 19073093 | Value: amlodipine 10 MG Oral Tablet | COUNT: 25378',
'ID: 1332421 | Value: amlodipine 5 MG Oral Tablet [Norvasc] | COUNT: 15650',
'ID: 43641653 | Value: Amlodipine / Lisinopril Oral Tablet [Normopress] | COUNT: 13719',
'ID: 43514926 | Value: Amlodipine 5 MG Oral Tablet [Amlo] | COUNT: 8243',
'ID: 44061609 | Value: Amlodipine 10 MG Oral Tablet [AMLODIPINE TEVA] | COUNT: 7222',
'ID: 1332419 | Value: amlodipine 5 MG Oral Tablet | COUNT: 7191',
'ID: 1332442 | Value: amlodipine 10 MG Oral Tablet [Norvasc] | COUNT: 6135',
'ID: 21103903 | Value: Nifedipine 20 MG [Nifedipress MR] | COUNT: 6010',
'ID: 44126223 | Value: Amlodipine 5 MG Oral Tablet [AMLODIPINE TEVA] | COUNT: 5329',
'ID: 36269134 | Value: Amlodipine 5 MG Oral Tablet [AMLODIPINE TEVA] Box of 28 by TEVA | COUNT: 4918',
'ID: 40171905 | Value: verapamil hydrochloride 40 MG Oral Tablet | COUNT: 3133',
'ID: 44129615 | Value: Amlodipine 5 MG Oral Tablet [AMLODIPINE TEVA] by TEVA | COUNT: 2787',
'ID: 19101807 | Value: nifedipine 30 MG Oral Tablet | COUNT: 2654',
'ID: 1332529 | Value: amlodipine 10 MG / valsartan 160 MG Oral Tablet [Exforge] | COUNT: 2611',
'ID: 1332418 | Value: amlodipine | COUNT: 2403',
'ID: 21025358 | Value: Nifedipine 0.2 MG/ML | COUNT: 1891',
'ID: 21131351 | Value: Amlodipine 5 MG / valsartan 80 MG Oral Tablet [Exforge] | COUNT: 1847',
'ID: 43170462 | Value: Amlodipine 10 MG Oral Capsule [AMLODIPINE TEVA] | COUNT: 1710',
'ID: 19101798 | Value: nifedipine 60 MG Oral Tablet | COUNT: 1557',
'ID: 40171884 | Value: verapamil hydrochloride 240 MG Extended Release Oral Tablet | COUNT: 1546',
'ID: 1332531 | Value: amlodipine 5 MG / valsartan 160 MG Oral Tablet [Exforge] | COUNT: 1251',
'ID: 19133614 | Value: diltiazem hydrochloride 120 MG Oral Tablet | COUNT: 1048',
'ID: 1332450 | Value: amlodipine 5 MG | COUNT: 1045',
'ID: 42370273 | Value: diltiazem hydrochloride 30mg | COUNT: 790',
'ID: 19073093 | Value: amlodipine 10 MG Oral Tablet | COUNT: 778',
'ID: 40171917 | Value: verapamil hydrochloride 80 MG Oral Tablet | COUNT: 729',
'ID: 46287342 | Value: 2 ML verapamil hydrochloride 2.5 MG/ML Injection | COUNT: 666',
'ID: 1332421 | Value: amlodipine 5 MG Oral Tablet [Norvasc] | COUNT: 545',
'ID: 40989595 | Value: Verapamil 240 MG Oral Tablet Box of 1 | COUNT: 545',
'ID: 43514926 | Value: Amlodipine 5 MG Oral Tablet [Amlo] | COUNT: 465',
'ID: 44126223 | Value: Amlodipine 5 MG Oral Tablet [AMLODIPINE TEVA] | COUNT: 351',
'ID: 41270395 | Value: Verapamil 40 MG Oral Tablet Box of 20 | COUNT: 333',
'ID: 19133622 | Value: diltiazem hydrochloride 60 MG Oral Tablet | COUNT: 304',
'ID: 44061609 | Value: Amlodipine 10 MG Oral Tablet [AMLODIPINE TEVA] | COUNT: 290',
'ID: 36269134 | Value: Amlodipine 5 MG Oral Tablet [AMLODIPINE TEVA] Box of 28 by TEVA | COUNT: 286',
'ID: 43641653 | Value: Amlodipine / Lisinopril Oral Tablet [Normopress] | COUNT: 252',
'ID: 41208600 | Value: Verapamil 120 MG Oral Tablet Box of 20 | COUNT: 229',
'ID: 1332442 | Value: amlodipine 10 MG Oral Tablet [Norvasc] | COUNT: 227',
'ID: 21131351 | Value: Amlodipine 5 MG / valsartan 80 MG Oral Tablet [Exforge] | COUNT: 201',
'ID: 1328585 | Value: diltiazem hydrochloride 180 MG Extended Release Oral Capsule | COUNT: 194',
'ID: 1332529 | Value: amlodipine 10 MG / valsartan 160 MG Oral Tablet [Exforge] | COUNT: 192',
'ID: 21074572 | Value: Nifedipine 0.4 MG/ML | COUNT: 170',
'ID: 21102105 | Value: Amlodipine 5 MG / valsartan 160 MG Oral Tablet Box of 14 | COUNT: 154',
'ID: 1328689 | Value: diltiazem hydrochloride 30 MG Oral Tablet | COUNT: 134',
'ID: 1332418 | Value: amlodipine | COUNT: 130',
'ID: 43292790 | Value: Amlodipine 5 MG / valsartan 80 MG Oral Tablet Box of 56 | COUNT: 128',
'ID: 1830519 | Value: amlodipine 5 MG / valsartan 80 MG [Amlodipine / Valsartan EG] | COUNT: 128',
'ID: 43170462 | Value: Amlodipine 10 MG Oral Capsule [AMLODIPINE TEVA] | COUNT: 127',
'ID: 42875942 | Value: Amlodipine 5 MG / Hydrochlorothiazide 25 MG / Ramipril 5 MG [Tonotec] | COUNT: 111',
'ID: 1318914 | Value: nifedipine 10 MG Oral Tablet | COUNT: 100',
'ID: 41177076 | Value: Verapamil 120 MG Oral Tablet Box of 1200 | COUNT: 96',
'ID: 41244795 | Value: Verapamil 80 MG Oral Tablet [Verapamil 3mm] | COUNT: 91',
'ID: 1332525 | Value: amlodipine 10 MG / valsartan 160 MG Oral Tablet | COUNT: 89',
'ID: 1328165 | Value: diltiazem | COUNT: 66',
'ID: 19135742 | Value: diltiazem malate 240 MG Oral Tablet | COUNT: 64',
'ID: 1332419 | Value: amlodipine 5 MG Oral Tablet | COUNT: 59',
'ID: 1332531 | Value: amlodipine 5 MG / valsartan 160 MG Oral Tablet [Exforge] | COUNT: 53',
'ID: 19135441 | Value: amlodipine 5 MG / hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet | COUNT: 52',
'ID: 1328214 | Value: diltiazem 240 MG | COUNT: 51',
'ID: 21105602 | Value: Diltiazem 240 MG Extended Release Oral Capsule by DE | COUNT: 45',
'ID: 19101798 | Value: nifedipine 60 MG Oral Tablet | COUNT: 36',
'ID: 19102397 | Value: 24 HR felodipine 5 MG Extended Release Oral Tablet | COUNT: 30',
'ID: 40171905 | Value: verapamil hydrochloride 40 MG Oral Tablet | COUNT: 26',
'ID: 19101807 | Value: nifedipine 30 MG Oral Tablet | COUNT: 25',
'ID: 19019309 | Value: nifedipine 10 MG Oral Capsule | COUNT: 21',
'ID: 41054750 | Value: Diltiazem 60 MG Oral Tablet Box of 50 | COUNT: 20',
'ID: 41211556 | Value: Diltiazem 30 MG Oral Tablet Box of 30 | COUNT: 16',
'ID: 21103903 | Value: Nifedipine 20 MG [Nifedipress MR] | COUNT: 12',
'ID: 44129615 | Value: Amlodipine 5 MG Oral Tablet [AMLODIPINE TEVA] by TEVA | COUNT: 8',
'ID: 42370273 | Value: diltiazem hydrochloride 30mg | COUNT: 7',
'ID: 43292790 | Value: Amlodipine 5 MG / valsartan 80 MG Oral Tablet Box of 56 | COUNT: 6',
'ID: 1830519 | Value: amlodipine 5 MG / valsartan 80 MG [Amlodipine / Valsartan EG] | COUNT: 6',
'ID: 19133614 | Value: diltiazem hydrochloride 120 MG Oral Tablet | COUNT: 5',
'ID: 40171884 | Value: verapamil hydrochloride 240 MG Extended Release Oral Tablet | COUNT: 5',
'ID: 21102105 | Value: Amlodipine 5 MG / valsartan 160 MG Oral Tablet Box of 14 | COUNT: 4',
'ID: 19102396 | Value: 24 HR felodipine 10 MG Extended Release Oral Tablet | COUNT: 4',
'ID: 1328165 | Value: diltiazem | COUNT: 3',
'ID: 1328214 | Value: diltiazem 240 MG | COUNT: 3',
'ID: 41208600 | Value: Verapamil 120 MG Oral Tablet Box of 20 | COUNT: 3',
'ID: 1318860 | Value: nifedipine 20 MG Oral Tablet | COUNT: 3',
'ID: 40989595 | Value: Verapamil 240 MG Oral Tablet Box of 1 | COUNT: 2',
'ID: 42875942 | Value: Amlodipine 5 MG / Hydrochlorothiazide 25 MG / Ramipril 5 MG [Tonotec] | COUNT: 2',
'ID: 21074572 | Value: Nifedipine 0.4 MG/ML | COUNT: 2',
