{'concept_name': {
'ID: 3571696 | Value: Atorvastatin 40mg tablets | COUNT: 62895',
'ID: 3656436 | Value: Atorvastatin 20mg tablets | COUNT: 46724',
'ID: 1545996 | Value: atorvastatin 40 MG Oral Tablet | COUNT: 41021',
'ID: 19068781 | Value: atorvastatin 80 MG Oral Tablet [Lipitor] | COUNT: 31023',
'ID: 3656556 | Value: Atorvastatin 80mg tablets | COUNT: 28619',
'ID: 19123593 | Value: atorvastatin 40 MG Oral Tablet [Lipitor] | COUNT: 26904',
'ID: 1545959 | Value: atorvastatin 80 MG Oral Tablet | COUNT: 26080',
'ID: 1539411 | Value: simvastatin 20 MG Oral Tablet | COUNT: 22712',
'ID: 19123592 | Value: atorvastatin 20 MG Oral Tablet | COUNT: 19994',
'ID: 1539407 | Value: simvastatin 40 MG Oral Tablet | COUNT: 11492',
'ID: 21091575 | Value: atorvastatin 20 MG Oral Tablet [Lipitor] by Mawdsley-Brooks | COUNT: 10382',
'ID: 40165253 | Value: rosuvastatin calcium 20 MG Oral Tablet | COUNT: 9166',
'ID: 3656633 | Value: Atorvastatin 10mg tablets | COUNT: 8661',
'ID: 1545994 | Value: atorvastatin 40 MG | COUNT: 8496',
'ID: 40974354 | Value: atorvastatin 40 MG Oral Tablet [Atorva] | COUNT: 8288',
'ID: 21052379 | Value: atorvastatin 80 MG Oral Tablet [Lipitor] by DE | COUNT: 7599',
'ID: 40165245 | Value: rosuvastatin calcium 10 MG Oral Tablet | COUNT: 6184',
'ID: 1545997 | Value: atorvastatin 10 MG Oral Tablet | COUNT: 6029',
'ID: 36263300 | Value: atorvastatin 40 MG Oral Tablet [ATORVASTATINE TEVA SANTE] | COUNT: 6022',
'ID: 40165257 | Value: rosuvastatin calcium 40 MG Oral Tablet | COUNT: 5932',
'ID: 41005757 | Value: atorvastatin 20 MG Oral Tablet [Atorva] | COUNT: 4929',
'ID: 1539463 | Value: simvastatin 10 MG Oral Tablet | COUNT: 4914',
'ID: 36273507 | Value: atorvastatin 20 MG Oral Tablet [ATORVASTATINE TEVA SANTE] | COUNT: 4358',
'ID: 1545958 | Value: atorvastatin | COUNT: 4134',
